,textID,text,len,clean
38,4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,10,soooooo sleeeeepy    last day school today  sniffle 
39,2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",20,little happy wine jeje ok itsm free time care  jaja love day
40,d93afa85cf," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",20,car happy  big big dent boot  hope go write  cross finger wait
41,fab6b7d16c,im an avid fan of **** magazine and i love your magazines,12,avid fan     magazine love magazine
42,2e7082d1c8,MAYDAY?!,1,mayday  
43,684081e4e7,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",25,ratt rocked nashville tonite  one thing sucked  encore    like  still fun show  pearcy hott bad boy look
44,c77717b103, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,19,love  available  pm    dear  would love help   convert vidsï¿½
45,a9d499e123,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,18,girl hair salon ask  shall trim eyebrow   old feel 
46,ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,16,egh blah boooooooooooo dunno want go work   hangovers suckkkkkk drunk mess 
47,c3924dc9e4,:visiting my friendster and facebook,5, visit friendster facebook
48,3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",24,donbt like peel prawn  also like go shop  run money crawl round car look
49,3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,17,case  get new one last week thrill 
50,a3ae670885, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,14,check  connect tweeple hate twitter
51,15d5f3a41b," also bored at school, its my third freelesson( freistunde )",10,also bore school  third freelesson  freistunde 
52,3c4a21b2cb, hm... Both of us I guess...,6,hm  guess 
53,11084dac09, it is ****...u have dissappointed me that past few days,10,     dissappointe past day
54,d8ba2a99a9, romance zero is funny,4,romance zero funny
55,e77fd45003, I`d rather do the early run..but I am a morning runner,11,would rather early run  morning runner
56,b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,18,bah coworker run work late bag smack knee   really hurt
57,6086b1f016,will be back later.  http://plurk.com/p/rp3k7,5,back later    
58,703afdc44b,Aw. Torn ace of hearts  #Hunchback,6,aw  tear ace heart    hunchback
59,90f3d2b572, what fun are you speaking of?,6,fun speak 
60,52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home",12,lose friend  alone sleepy  want go home
61,a4b0888da6, haha yes,2,haha yes
62,2a9765b7f9,I give in to easily,5,give easily
63,90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,30,well way spoil mum let kick back relax nice meal bottle favorite wine  wine red
64,98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,8,mannnn   get iphone    jealous    
65,23e1f7dca4,Is at a photoshoot.,4,photoshoot 
66,95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,12,awesome  work  good friend 
67,c34feef039,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,16,yay play show tonight  boo go soggy work right play
68,fa2654e730,Chilliin,1,chilliin
69,187494c25b," If you know such agent, do let me know",9,know agent  let know
70,4213627c3c,I still smell of smoke  #kitchenfire,6,still smell smoke    kitchenfire
71,a4e00d4d26, a celtics-lakers rematch sounds better don`t you think? lol,9,celtic  laker rematch sound better think  lol
72,04e2e334de,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",25,anyone extra keane ticket  promise buy drink take rad pic fb  blog  flickr   etc
73,0c4aa867d0,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",18, ride one  catch one  summer til pop open one    
74,a6c61eac26, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,27,good  gor  juz yea kno ask yesterday tha hospital talk say
75,94bd67443c,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,27,ok   pop say hi check thing  probably head guttah later tonight
76,35f393a245,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",9,wow  really missin family  today  baddd 
77,b2c9f115b1, My sources say no,4,source say
78,0a61cbf4b5,I am sooo tired,4,sooo tired
79,ee9ec7a5a4," Hey, you change your twitter account, and you didn`t even tell me...",12,hey  change twitter account  even tell 
80,bbbc46889b, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,2,thank yyyyyyyyyoooooooooouuuuu 
81,58d382e07a, lucky kid...i so wanna see loserville  pity im in oz....,10,lucky kid  want see loserville   pity oz 
82,cb4d439ebc,fell asleep waiting for my ride!,6,fall asleep wait ride 
83,64ed512788,Sick. With a flu like thing.,6,sick  flu like thing 
84,4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",20,still reply   simfinger problem   irape parody video get response  sorry guy
85,3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),10,happy star wars day everyone  enjoy holiday  uk 
86,0c0563423e, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,27,mile    essex give plenty warning arrive time get least one free beer 
87,cd0d522bb1,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",28,snoring annoying n keep sleep  like right  lol  honestly wud miss eva left   love 
88,bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,14,miss bby       wish go tomorrow make good 
89,9339ee8e0b, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,23,well work quite ready post publicly  still beta testing  cool new script code
90,a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,9,sweeeeet  san fran awesome       love
91,4ce121e2ad,_Mounce yes and it lasts way past my bedtime!,9, mounce yes last way past bedtime 
92,a3de81e1ba, Hi  how are you doing ???  *just joined twitter...*,9,hi         join twitter  
93,55bacda5eb,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,14,wait sleep pill kick  go tired work tomorrow
94,b63ed6da62,eating ice cream and then getting ready for graduation.,9,eat ice cream get ready graduation 
95,4c41a35a2a,Happy Mothers day to all you Mums out there,9,happy mothers day mum
96,61a8e11e8a," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",23,casey gone        piddle little carpet  prolly freak new  get back 
97,447dc22c81, hemp cloth is marvelous but unfortunately no,7,hemp cloth marvelous unfortunately
98,3408db03a3,Gonna read a story bout adam lambert online then bed. Nighty night,12,go read story bout adam lambert online bed  nighty night
99,92e1b6846e, We saw that in none 3D - the baddie`s the best,11,see none  baddie good
100,2207d982bc,4am. And Im on the beach. Pretty,7,  beach  pretty
101,15e01e1749," Certainly not Cheers than, huh?",5,certainly cheers  huh 
102,ebcdf07ac5,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",19, week post myhorrible  traumatic jumping cholla accident  cholla next dirty trick  piece start emerge hand  ouch 
103,fd9fb4f1ad,i realy wanted to go out cause its so nice but everybodys busy,13,realy want go nice everybodys busy
104,6b018d3d2d, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,23,awesome    ocean beach  know   way   yourbiggestfan   al big fan  rs 
105,327a009a7d,at least I get to watch over time  Let`s go Pens!!,11,least get watch time   let go pens  
106,d0d3c6f298, cool i wear black most of the time when i go out,12,cool wear black time go
107,40649553ef, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,23,haha know work blip apart obvious  thank reblippe song   nice day    
108,561b44a42f, have a safe trip joshy poo.......you`ll knock them dead at your speech,12,safe trip joshy poo  knock dead speech
109,a05aea73d7," woof, I wish I was allowed to go",8,woof  wish allow go
110,9c4817f73b,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,18,friendster add                  email adress       add   lococrimestcom         add leave comment
111,f0c1601d8b,  has tickets.......?,2,ticket  
112,d421fbd332,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",12,thank  afrin nasal spray  also  get giant teacup tonight 
113,99b7ec4b0b, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,25,acsm  unfathomable    think one   one keep comfort bedroom  yes 
114,a655fbb5eb,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",25,aww  love daddy  work  day week almost day still try go sf
115,43e9a93104,So many tests todayyy  I don`t feel confident about anyy.,10,many test todayyy   feel confident anyy 
116,401869d615,graduation is done  im a little sad.. anyone want to hang out???,12,graduation   little sad  anyone want hang   
117,9843c4688e, hahaa your awesomee !,4,hahaa awesomee 
118,87fbf14655,holy smokes! star trek was freaking awesomeeeee,7,holy smokes  star trek freak awesomeeeee
119,22d1806fa0,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",24,hate fallout  keep make jump  also low health  money  ammo food   worry get 
120,9d2cffd953," I had it! On my itunes, but then I lost all my songs.",13, itune  lose song 
121,f78761f7ec,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,25,gloomy weather  sun must tired come play   head victoria gardens impulse buy haha
122,66057d58c2,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",15,look forward next week  maths  geography  english french exam  total  hour
123,af90ad5989," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",19,poor   get outside sleep garden  sun good  forget suncream   
124,f0460d611d,not well,2,well
125,6649f3558c, Not a prob hun,4,prob hun
126,24532ab83c,"at dads, watching some mtv and am going on sims2 in a minutee",13,dad  watch mtv go sims minutee
127,8e1583cb08, Absolutely,1,absolutely
128,4ea61dbc7a, what`s the matter chickadee?,4,matter chickadee 
129,94f67cfa6d, hey mia!  totally adore your music.  when will your cd be out?,12,hey mia    totally adore music    cd 
130,29dfaf5e3b,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",16,shop  cleaning  bmfing  webcam chat nephew  nothing spesh  good bank holiday monday nonetheless
131,974b35f889, =O you need to ask him something? Lmao I love him too,12, need ask something  lmao love
132,b495300bbf, those splinters look very painful...but you were being very heroic saving mr. Pickle,13,splinter look painful  heroic save mr  pickle
133,504539e6ec, why are you sad?,4,sad 
134,6903cb08f2, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,22,nice see tweet    sunday th may celebrate mother day today  nice yer mom
135,1996048e7a,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,23,decide  trans frm relax  natural hair wish whole head look like root    age instant gratification 
136,c6d0c7676c, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,20,namaskar  namaste r  marathi people say namaskar  marathi word    naaaah 
137,ef74bab7f3," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",21,congrat    cuss like matter minute  know reward 
138,f3cf8ec01b,Humous and Dorito`s.... Oh yes,5,humous dorito  oh yes
139,cb1b0d191d,"missed all the awesome weather, because she was in a movie!",11,miss awesome weather  movie 
140,3e67a75303,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,31,today go normal day hope  group pilot large airline come last night much drink
141,997a62f83f,"These kids are terrible! If I was in Good Evans, I`d call Childline",13,kid terrible  good evans  would call childline
142,7e1757d4f0,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",24,unfortunatley  aerlingus longer fly copenhagen fly ryanair billund drive copenhagen one day 
143,254546cd2c," What`s sad is that I actually had to google that term. That sucks, tho.",14,sad actually google term  suck  tho 
144,7e4ed52c4a,Hate fighting,2,hate fight
145,5069ae7a15," I watched that too!!! I didnt want her to win, but she put up a good fight..lol",17,watch    want win  put good fight  lol
146,48cdcd5f28,Car-warmed Sprite tastes like sore throat,6,car  warm sprite taste like sore throat
147,1b1b02af59,Just came 11th in cross country and beat dumbo,9,come th cross country beat dumbo
148,ae71041e21,Candle wax is very enjoyable.,5,candle wax enjoyable 
149,11c10e3fc5," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",19,unassume unpretentious    suppose endearing  relate
150,19526ac03e,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,22,tomorrow valeria lunch    go get hair arrave late    get cousin babtizm whatever spell
151,960bbdc0c3,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,17,goooooddd morning tweet     week three workout  mention get new glass yesterday   
152,fd285fe74a, me too. I hate my computer so much..,8, hate computer much 
153,a5a1c996c0, fine! Going to do my big walk today 20 or so miles,12,fine  go big walk today  mile
154,20ec7c7c32,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,11,want red cruiser     like one  lmfao 
155,b948984e8d,Mmmmmmmm... ? it in the morning,6,mmmmmmmm   morning
156,6824c44c21, me neither,2,neither
157,02d140362f,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",22, hour work  sunday  boo  find time two hour lunchbreak though  yeah
158,5f93cc70ff,Bugger. forgot I still have washing in my machine,9,bugger  forget still wash machine
159,4e6a5c0034,"_Laurie sending love, blessings & healing thoughts to you & family  peace",12, laurie send love  blessing  heal thought  family   peace
160,e4e9b8713a,My back hurts...really bad,4,back hurt  really bad
161,08975f62a8," ah yes, I know that feeling",6,ah yes  know feeling
162,4a1ce7dc3b,Night of the cookers with my dad,7,night cooker dad
163,328a0e76bd,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,23,modem offline week  god bless  g network  tim leave    may schedule brutal
164,abbd0db2a5, Nope I am in Coquitlam,5,nope coquitlam
165,940eb93dd5, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,13,parent teacher thing yesterday   bore go skl saturday     lol
166,c78bf59e67,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,13, lichfield  tweetup sound like fun   hope see everyone else 
167,e73425ffdc,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,16,big booming thunder storm almost    maybe go home early      ah  probably 
168,e56eeb4968,Few Bevvies 2day in twn..great on a day off!!,9,bevvies day twn  great day  
169,7162d447ab,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,17,first night myers  w  lydia    actually excited summer 
170,f3d95b57b1, good morning,2,good morning
171,5e4eac2b2e, its the best show EVER!,5,good show ever 
172,bc02870b7d,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,18,url previous post  timer job    would remove space mess url    es
173,80e45e833f,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,23,think iv hurt tooth   eilish cassie draw competiton draw cookie pineapple haha  l 
174,f29df52d91, I want to know when the auditions are Mander! Text or...reply please!,12,want know audition mander  text  reply please 
175,079e4e3472,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,8,even nooooo secret namerebecca please
176,557e676fe4, I miss my neice  can`t wait to see her bad n grown ****! Lol,14,miss neice   wait see bad n grown      lol
177,8d09044937,i need to get my computer fixed,7,need get computer fix
178,9d3a1e0269,really hopes her car`s illness is not terminal...,8,really hope car illness terminal 
179,7ff2dbbe25,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",20,cool people want find follow today  english  guess english tweet 
180,5a254fbb98, no sir...i woulda put honey...but i don`t have any,9,sir  would put honey 
181,417176c08e,who watched X-men origins: wolverine? i totally loved it! haha,10,watch x  man origin  wolverine  totally love  haha
182,2bf5c7dba7, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,28,vote    personal myspace  keep talk fake      help thru hrd time life   x
183,8407ac30b0, I`m sad that I missed you guys last night!,9,sad miss guy last night 
184,6ed347b1a5,Finally got a call for marriage counseling 3 days late....,10,finally get call marriage counseling  day late 
185,97625460cf, ok then,2,ok
186,32e4ffe225,_420 why baby?,3,  baby 
187,24ee55f264,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,21,today last day high school end go home sick   stupid dead rat
188,82b75647fd,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,18,impromptu pool party  except know swim get
189,a0a306868a,lost my tooth 2day whilst i was eating gum...oww,9,lose tooth day whilst eat gum  oww
190,9b11b686ec,happy 1 year! <3,4,happy  year  
191,7e7bc11e45,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",21,oh  hella forget say official good morning   like hear  go  goooooooooooood morrrrrrrrning twitterville  lol
192,28dbada620, *phew*  Will make a note in case anyone else runs into the same issueï¿½,14, phew    make note case anyone else run issueï¿½
193,3e880ec28d,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,11,    vote every day     
194,38271074d1,I`m starving!! This diet is killing me but I can`t eat after 8pm,13,starve   diet kill eat  pm
195,ef12a3d183, i talk to you,4,talk
196,f0db54f5bf,im soo bored...im deffo missing my music channels,8,soo bored  deffo miss music channel
197,e651d415c6, nite nite bday girl  have fun at concert,8,nite nite bday girl   fun concert
198,931a866d3f,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",27,nicotine replacement patch  hour  far  good  sleep  hour  get bit twitchy
199,7a718b23ef,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,16, sanderson twatter lately    either get reply turn 
200,a6fccce9db,should be sleeping.  lost my voice a couple day ago.,10,sleep    lose voice couple day ago 
201,c017d0c221,http://twitpic.com/66xlm -  hate when my PARKED car gets hit,9,    hate parked car get hit
202,287755c5dd, I`ve heard this fall. I`m waiting too!,7,hear fall  wait 
203,58c435d2cf, more nightmares?  *huggles*,3,nightmare     huggle 
204,e6ee6826df,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,21,creeper   feel disappointed      cyberstalking skill    internet  privacy 
205,01b2476dd7,going to bed its late and I have headache,9,go bed late headache
206,e02cf4af4c,happy mother`s day to all moms out there...,8,happy mother day mom 
207,2dc0dc0d5d,Grabbing coffee from  then making mom breakfast,7,grab coffee   make mom breakfast
208,1b13ed8b4b,im thinking that im going to have fun tonight....and maybe some changes are coming,14,think go fun tonight  maybe change come
209,b6b35af246, thanks. before the major chop.,5,thank  major chop 
210,375e74d063," Haha I know, I cant handle the fame!  and thank you!",11,haha know  handle fame    thank 
211,4700be3234,just got up and updated my ipod,7,get update ipod
212,e5c6a6bb5a, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,18,yes  sober hahaha tanghale tapat dude  haha wild  knowwww   plan plan   go us 
213,4f84bea1cc, We never miss ICarly - my son has a huge crush on Miranda,13,never miss icarly  son huge crush miranda
214,4c73ad2888,Saw James carville in the store today. His head is really that bald,13,see james carville store today  head really bald
215,2dcd8766a8,yellow for   ? http://blip.fm/~5z05g,4,yellow      g
216,234093bef1, which means you`re just going to have to come back to vancouver and have it our way! hahah,18,mean go come back vancouver way  hahah
217,ca832cad51,Feeling smooth like chrome,4,feel smooth like chrome
218,a8734230b6,Ew traffic,2,ew traffic
219,0b5c2a7d7c,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",20,download song try sneak lil homework  main priority song lol
220,e70d294d95,@_Ra_Ra_ your not alone...i need coffee too.,7,  alone  need coffee 
221,f84b89a828, Sounds like me,3,sound like
222,ee37bea884,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,22,bad day   day realize mess put one happy day life 
223,242d92151a,Walking to class. I hate not having a bike....especially mine.,10,walk class  hate bike  especially 
224,f3a77c2b5e,_nesmith,1, nesmith
225,1d6411e9dd,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",23,fail inspection  know pass wo  oven  wo  anti  tip bracket  sell w  oven  bad taxis 
226,151c10cc39,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",14,jonas brothers  live party                  rock hard      love song 
227,7b1927e748,happy mother`s day to all the mothers in the world.,10,happy mother day mother world 
228,9a6f4d05d5,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",21,mins hr min google wave demo  look lot fun  would love test though    
229,0cb4504f2c,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,15,sleepy tabz head bed    fun night  listen next episode jossd 
230,ae21c1ac38,The exception for a short dude: Larenz fineass Tate yum,10,exception short dude  larenz fineass tate yum
231,8f3e73cf09,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",16,screw review  think wolverine awesome  enough dominic monaghan liking 
232,c7489a23fa,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",24,follow recently  please offend follow back  hit limit     hopefully free soon 
233,148ac38bea, Yes i work 6 to 3...,6,yes work   
234,641555ac70," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",19,hmmm  maybe mean  elude something brand new know media
235,4bda359cbb,Done at the spa   now meeting vic for some late lunch!,11,spa    meet vic late lunch 
236,ed084a1fa7,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,15,happy monday   go tavare today  hope everyone bless day 
237,1af124bc1c, Always have wanted to go to Oz,7,always want go oz
238,e98226e842, Thx,1,thx
239,85ec413e54, http://twitpic.com/4jaz5 - Cool... luv it,5,  cool  love
240,7df7221145,  that`s why I need to be there...To represent the Blackberries,10,need  represent blackberries
241,0ab8f9c4bc,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,27,okay dedicate th tweet fact go apple store huge crack glass screen 
242,06cad97de6, If only we could ever actually be allowed to stay here and do that,14,could ever actually allow stay
243,37f6bd5ac5, Let me know how that turns out!!,7,let know turn  
244,9bef0d7135, was that sass I detect?  As long as it isn`t back sass! Haha,13,sass detect    long back sass  haha
245,7436ec1a2c," yeah I was thinking about that ,ahaha",7,yeah think  ahaha
246,cf10e9309a, Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,21,sports bar shatranjanpoli rest ph  sports bar andheri w  know whether help  google ki jai ho
247,ce69e99e71,I`m not sleeping at all until  accepts my appology,9,sleep   accept appology
248,6402e14398,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",13,wolverine boss  seriously   iam       
249,914c40995f," I live for pain, bring it on",7,live pain  bring
250,258f37341e,"okay, i`m out for a while  back later!",8,okay    back later 
251,77ba0fee75,  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,14, powerblog powerblog challenge keep talk    newbie follower
252,96a4ce0d47,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,19,almost die  laptop screen set   brightness reinstall windows vista  get headache    insanedefault
253,5bcc50c275,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,23,wait tish get  get drive mom crv pick duckie  first time
254,c5645758be,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",26,try decide movie friend  go well  lol p   bible study nite  mean     day cake   buy  
